year,date,sitenumber,site,protocol,richness,EPT,MCI,SQMCI,Acarina,Dolomedes aquaticus,Hydra,Antiporus,Elmidae   ,Enochrus,Hydraenidae ,Hydrophilidae ,Ptilodactylidae ,Staphylinidae,Scirtidae ,Rhantus,Copelatus,Podaena,Liodessus,Collembola,Amphipoda,Paranthura,Tanaidacae,Cladocera,Copepoda,Isopoda,Ostracoda,Paracalliope,Paraleptamphopus ,Paranephrops ,Paratya,Anthomyiidae,Aphrophilia,Austrosimulium ,Ceratopogonidae,Chironomus,Chironomidae,Corynoneura,Culex,Culicidae,Dolichopodidae,Empididae,Ephydridae,Eriopterini ,Harrisius,Hexatomini ,Limonia,Limnophora,Lobodiamesa,Maoridiamesa,Mischoderus,Molophilus,Muscidae,Neocurupira ,Neolimnia,Nothodixa,Orthocladiinae,Paradixa ,Paralimnophila,Parochlus,Paucispinigera,Polypedilum,Psychodidae,Sciomyzidae,Stratiomyidae ,Tabanidae ,Tanypodinae,Tanytarsini,Tanytarsus,Thaumaleidae,Zelandotipula,Acanthophlebia ,Ameletopsis ,Arachnocolus ,Atalophlebioides,Austroclima ,Austronella,Coloburiscus ,Deleatidium ,Ichthybotus ,Isothraulus,Mauiulus,Neozephlebia ,Nesameletus ,Oniscigaster,Rallidens,Siphlaenigma,Tepakia,Zephlebia ,Anisops,Diaprepocoris,Microvelia,Saldidae,Sigara,Hirudinea,Hygraula,Archichauliodes,Ferrissia,Gyraulus,Hyridella,Latia,Lymnaeidae,Melanopsis,Physidae,Potamopyrgus ,Sphaeriidae,Nematoda,Nemertea,Nematomorpha,Kempynus,Aeschna,Anisoptera,Antipodochlora ,Austroletes,Hemicordulia,Procordulia,Uropetala,Xanthocnemis,Oligochaeta,Platyhelminthes,Acroperla,Austroperla ,Megaleptoperla ,Nesoperla,Spaniocerca,Stenoperla ,Taraperla,Zelandoperla ,Zelandobius ,Alloecentrella,Aoteapsyche ,Beraeoptera,Confluens,Costachorema ,Ecnomina ,Helicopsyche ,Hudsonema ,Hydrobiosella ,Hydrobiosis ,Hydrochorema,Neurochorema ,Oecetis,Oeconesidae,Olinga,Orthopsyche ,Oxyethira ,Paroxyethira ,Plectrocnemia ,Polyplectropus ,Psilochorema ,Pycnocentria ,Pycnocentrodes,Triplectides ,Tiphobiosis,Zelandoptila,Zelolessica,Polychaeta,Rhabdocoela,Ischnura,Mysidae,Bryozoa
2006,24/03/2006,8557,Aroaro @ Phillips,soft,22,18.18181818,91.81818182,4.070666667,,,,,A,,R,,R,,,,,,,,,,,,,,,R,,,,R,C,C,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,C,,,,,,,R,,,R,,,,,,,,,,,,,,,,C,,A,,,,A,,,R,VA,,,R,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,C,,,,,,,C,,,,,,C,,,,,,,,,
2006,18/04/2006,7308,Awanohi Lower,soft,15,13.33333333,93.6,2.566515837,R,,,,,,,,,,,,,,,,,,,,,,,C,,R,VA,,,,,,,,,,,,,,R,,,,,,,,,,,,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,R,A,VVA,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
2006,29/03/2006,7309,Awanohi Mid,soft,19,26.31578947,118,4.393478261,R,,,,,,,,,,,,,,,,,,,,,,,A,,R,A,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,,,,R,,,,,R,,R,,R,,,,,,,,,,,,,,,,,R,R,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,C,,C,,,,,,,,
2006,29/03/2006,7310,Awanohi Rural Trib,soft,18,11.11111111,92.88888889,2.170833333,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,R,,,,,,,,,,,R,,,,,,,,,R,,R,R,,,,,R,,R,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,A,VA,,,,,,,,,,,,,C,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,
2006,18/04/2006,7311,Awanohi Upper 1,soft,8,62.5,139.25,7.10625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,C,,,,,,,,
2006,30/03/2006,7312,Awanohi Upper 2,soft,17,23.52941176,104.4705882,3.522651934,,,,,,,,,,,,,,,,,R,,,,,,,A,,,A,,,,,,,,,,,,,,,,,,,,R,R,,,,,R,C,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,R,C,R,,R,,,,,,,,,,,,,VA,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,,
2006,13/03/2006,45742,Awarere @ Dibble,soft,16,18.75,103,7.272535211,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,,,,,R,,,,,,,,,,,,,,,C,,,,,VA,,,,,,,,,,,,R,R,,,A,,,,,,,,,,,,,C,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,
2006,28/02/2006,7524,Campbells Bay,soft,12,0,70.5,2.387671233,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,R,,,R,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,C,VA,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,3/03/2006,44618,Cascades LTB,Hard,18,22.22222222,103.3333333,2.852631579,,,,,R,,,R,R,,,,,,,,,,,,,,,,,,,R,C,A,,,,,,,,,,,R,,,,,R,C,,,,,,,,,,,R,,,,,,,A,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,C,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,C,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,,
2006,9/03/2006,7721,Chatswood,Hard,10,20,78,3.701492537,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,,,,,,,
2006,21/03/2006,8407,Duders,soft,13,7.692307692,74.46153846,4.708227848,,,,,,,,,,,,,,,,,,,,,,,C,VA,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,A,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,R,,,R,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,
