num,site,nztmx,nztmy,lat,lon,type
1,Otara,5908371.000,1768326.000,-36 57 20.52666,174 53 26.23536,Urban
2,Mahurangi,5964882.000, 1747626.000,-36 26 59.81427,174 38 50.31179,Forestry
3,Oakley,5917503.000, 1751914.000,-36 52 34.35236,174 42 16.30319,Urban
4,Ngakaroa,5881618.000, 1775165.000,-37 11 43.69677,174 58 25.08390,Pasture
5,Puhinui,5904298.000, 1766445.000,-36 59 33.83742,174 52 13.44768,Urban
6,Papakura,5901203.000, 1771523.000,-37 01 10.93356,174 55 41.30698,Pasture
7,Oteha,5932876.000, 1751903.000,-36 44 15.67973,174 42 04.81314,Urban
8,Kumeu,5928819.000, 1739216.000,-36 46 34.30067,174 33 36.11139,Pasture
9,Hoteo,5974291.000, 1743264.000,-36 21 56.94465,174 35 48.89575,Pasture
10,Vaughan Lower,5938729.000, 1755414.000,-36 41 03.77034,174 44 22.03763,Pasture
11,Wairoa,5901828.000, 1782680.000,-37 00 43.09161,175 03 12.01425,Pasture
12,Matakana,5976422.000, 1753615.000,-36 20 42.06169,174 42 42.58420,Pasture
13,Opanuku,5915597.000, 1742087.000,-36 53 41.69156,174 35 40.78927,Native
14,West Hoe,5950608.000, 1748300.000,-36 34 42.50277,174 39 27.24636,Native
15,Cascades,5916371.000, 1735633.000,-36 53 20.00202,174 31 19.61319,Native
